 Ground state dipole moment in X,Y,Z:    0.000000    0.000000   -0.010838 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1    -2.9175737     0.4018850    -0.0000000     4.17120     0.88639
     0     2    -0.5071722     0.1208193    -0.0000000     4.94890     0.03296
     0     3     0.0000000    -0.0000000     0.0027314     4.96820     0.00000
     0     4     0.0000000     0.0000000     0.0955826     5.42150     0.00121
     0     5     0.0000000     0.0000000     0.1522776     5.66980     0.00322
     0     6     0.0190952     0.1809324     0.0000000     5.67640     0.00460
     0     7    -0.0753550     0.1032387    -0.0000000     5.80420     0.00232
     0     8     0.8885009    -1.2723323    -0.0000000     5.82050     0.34342
     0     9     0.0000000    -0.0000000     0.2751190     5.92510     0.01099
     0    10     0.0000000    -0.0000000     0.1242637     5.97170     0.00226
     0    11    -0.0000000    -0.0000000     0.2697734     6.14660     0.01096
     0    12     0.0000000     0.0000000    -0.0360933     6.28050     0.00020
     0    13    -1.7800158     0.2630991    -0.0000000     6.45850     0.51230
     0    14     0.0000000     0.0000000     0.0267247     6.59880     0.00012
     0    15     0.0096571    -0.0445823    -0.0000000     6.60130     0.00034
     0    16     0.0000000     0.0000000     0.1143311     6.60820     0.00212
     0    17     0.0333091     0.1711816     0.0000000     6.62500     0.00494
     0    18     0.0000000    -0.0000000     0.2171140     6.65020     0.00768
     0    19     0.0520742    -0.0046272    -0.0000000     6.65520     0.00045
     0    20     0.7071657     0.3325187    -0.0000000     6.79320     0.10163
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1     0.0000000     0.0000000    -0.0574681     0.00000     0.00000
     1     2     0.0000000    -0.0000000     0.1452557     0.77770     0.00040
     1     3    -0.4517847    -0.5479640     0.0000000     0.79700     0.00985
     1     4    -0.2439500     0.1942401    -0.0000000     1.25030     0.00298
     1     5     0.4683327     0.1191509    -0.0000000     1.49860     0.00857
     1     6    -0.0000000    -0.0000000     0.3033498     1.50520     0.00339
     1     7    -0.0000000     0.0000000     0.0096773     1.63300     0.00000
     1     8    -0.0000000     0.0000000     0.0956437     1.64930     0.00037
     1     9    -1.5480474     0.0252275    -0.0000000     1.75390     0.10300
     1    10     4.6369493    -0.4672087    -0.0000000     1.80050     0.95808
     1    11    -0.5404695    -0.0945766     0.0000000     1.97540     0.01457
     1    12    -1.0178476     0.3228813    -0.0000000     2.10930     0.05893
     1    13     0.0000000     0.0000000    -0.0263078     2.28730     0.00004
     1    14    -1.2284597     0.4735815    -0.0000000     2.42760     0.10309
     1    15    -0.0000000     0.0000000     0.1621482     2.43010     0.00157
     1    16    -0.8552933     0.3256545    -0.0000000     2.43700     0.05001
     1    17    -0.0000000    -0.0000000    -0.3427527     2.45380     0.00706
     1    18     0.6190279    -0.3200845     0.0000000     2.47900     0.02950
     1    19     0.0000000    -0.0000000     0.0359440     2.48400     0.00008
     1    20     0.0000000     0.0000000     0.0482048     2.62200     0.00015
     2     2     0.0000000    -0.0000000     0.0169381     0.00000     0.00000
     2     3     0.3711510    -0.1359754     0.0000000     0.01930     0.00007
     2     4     0.1101879     0.1357393     0.0000000     0.47260     0.00035
     2     5    -1.2225790     0.0760564    -0.0000000     0.72090     0.02650
     2     6    -0.0000000    -0.0000000    -0.2163918     0.72750     0.00083
     2     7    -0.0000000    -0.0000000    -0.0441009     0.85530     0.00004
     2     8    -0.0000000     0.0000000    -0.0763475     0.87160     0.00012
     2     9    -3.3015263     0.6625207    -0.0000000     0.97620     0.27119
     2    10    -0.7012790     0.0147331    -0.0000000     1.02280     0.01233
     2    11    -0.0148507    -0.0626456     0.0000000     1.19770     0.00012
     2    12    -0.2550249    -0.1598898     0.0000000     1.33160     0.00296
     2    13     0.0000000    -0.0000000     0.1475642     1.50960     0.00081
     2    14    -0.2760081    -0.3471790    -0.0000000     1.64990     0.00795
     2    15    -0.0000000    -0.0000000    -0.0779395     1.65240     0.00025
     2    16    -0.4213184    -0.2598858     0.0000000     1.65930     0.00996
     2    17     0.0000000    -0.0000000     0.0310528     1.67610     0.00004
     2    18    -0.4074444     0.0573612     0.0000000     1.70130     0.00706
     2    19     0.0000000     0.0000000     0.3424068     1.70630     0.00490
     2    20    -0.0000000     0.0000000    -0.1153225     1.84430     0.00060
     3     3     0.0000000     0.0000000    -0.0378066     0.00000     0.00000
     3     4    -0.0000000     0.0000000     0.0049141     0.45330     0.00000
     3     5    -0.0000000     0.0000000     0.0991363     0.70160     0.00017
     3     6     0.5648248    -0.1632509     0.0000000     0.70820     0.00600
     3     7     0.3241676    -0.0736950     0.0000000     0.83600     0.00226
     3     8    -3.2233587     0.5372159    -0.0000000     0.85230     0.22298
     3     9     0.0000000    -0.0000000    -0.0849737     0.95690     0.00017
     3    10    -0.0000000     0.0000000     0.0699725     1.00350     0.00012
     3    11    -0.0000000     0.0000000    -0.0142062     1.17840     0.00001
     3    12    -0.0000000     0.0000000    -0.0148323     1.31230     0.00001
     3    13     0.4175624    -0.5393422    -0.0000000     1.49030     0.01699
     3    14    -0.0000000     0.0000000     0.2570916     1.63060     0.00264
     3    15    -0.1609291    -0.0782412     0.0000000     1.63310     0.00128
     3    16    -0.0000000     0.0000000     0.2412154     1.64000     0.00234
     3    17     0.2453247     0.1058716     0.0000000     1.65680     0.00290
     3    18    -0.0000000     0.0000000    -0.1708818     1.68200     0.00120
     3    19     0.0785756     0.1763960     0.0000000     1.68700     0.00154
     3    20     1.0534532    -0.0220686    -0.0000000     1.82500     0.04964
     4     4    -0.0000000     0.0000000    -0.4801817     0.00000     0.00000
     4     5    -0.0000000    -0.0000000     1.1640517     0.24830     0.00824
     4     6     0.7598947     4.8360802     0.0000000     0.25490     0.14966
     4     7    -3.7744550     0.6878593     0.0000000     0.38270     0.13801
     4     8    -0.1006245     0.9074376    -0.0000000     0.39900     0.00815
     4     9     0.0000000    -0.0000000    -1.1928580     0.50360     0.01756
     4    10    -0.0000000    -0.0000000     0.8240661     0.55020     0.00915
     4    11     0.0000000     0.0000000     0.1175230     0.72510     0.00025
     4    12    -0.0000000    -0.0000000     1.7199890     0.85900     0.06226
     4    13    -0.1070713     0.0670283    -0.0000000     1.03700     0.00041
     4    14     0.0000000    -0.0000000     1.9631751     1.17730     0.11116
     4    15    -0.2279991    -0.9084396     0.0000000     1.17980     0.02536
     4    16    -0.0000000    -0.0000000     1.7463491     1.18670     0.08867
     4    17     0.3134257     0.3242742    -0.0000000     1.20350     0.00600
     4    18    -0.0000000     0.0000000    -0.6475597     1.22870     0.01262
     4    19    -0.1626162     0.4222125    -0.0000000     1.23370     0.00619
     4    20    -0.1362455    -0.0598940     0.0000000     1.37170     0.00074
     5     5     0.0000000     0.0000000     0.1573630     0.00000     0.00000
     5     6     0.1853596     0.7148680     0.0000000     0.00660     0.00009
     5     7    -0.6124381     0.2705838    -0.0000000     0.13440     0.00148
     5     8    -0.9001612     0.6132538     0.0000000     0.15070     0.00438
     5     9     0.0000000    -0.0000000    -0.2198524     0.25530     0.00030
     5    10    -0.0000000    -0.0000000     0.0559045     0.30190     0.00002
     5    11    -0.0000000     0.0000000    -0.4949064     0.47680     0.00286
     5    12     0.0000000     0.0000000     0.1864232     0.61070     0.00052
     5    13     0.2019546     0.1077147     0.0000000     0.78870     0.00101
     5    14     0.0000000    -0.0000000     0.0073110     0.92900     0.00000
     5    15     0.0914227    -0.2341991    -0.0000000     0.93150     0.00144
     5    16     0.0000000    -0.0000000     0.2760524     0.93840     0.00175
     5    17    -0.0759895     0.4134677     0.0000000     0.95520     0.00414
     5    18    -0.0000000     0.0000000     0.2915394     0.98040     0.00204
     5    19    -0.4927294     0.0818100     0.0000000     0.98540     0.00602
     5    20    -0.9596317     0.8654467     0.0000000     1.12340     0.04596
     6     6     0.0000000     0.0000000    -0.4215945     0.00000     0.00000
     6     7     0.0000000    -0.0000000     0.4995420     0.12780     0.00078
     6     8    -0.0000000     0.0000000     0.5870870     0.14410     0.00122
     6     9     0.2156336     0.4507298    -0.0000000     0.24870     0.00152
     6    10    -0.0706762     0.4096238     0.0000000     0.29530     0.00125
     6    11     0.2921873    -1.0206987    -0.0000000     0.47020     0.01298
     6    12    -2.6852678     0.0748791     0.0000000     0.60410     0.10680
     6    13    -0.0000000     0.0000000     0.4333158     0.78210     0.00360
     6    14     0.9420789    -0.0893220     0.0000000     0.92240     0.02024
     6    15    -0.0000000    -0.0000000    -0.2187564     0.92490     0.00108
     6    16     0.2687496    -1.1798252     0.0000000     0.93180     0.03343
     6    17    -0.0000000     0.0000000     0.7279665     0.94860     0.01232
     6    18    -0.6009864    -3.2111523     0.0000000     0.97380     0.25463
     6    19     0.0000000    -0.0000000    -0.3379522     0.97880     0.00274
     6    20    -0.0000000     0.0000000     1.4406147     1.11680     0.05678
     7     7     0.0000000    -0.0000000     0.1232525     0.00000     0.00000
     7     8    -0.0000000    -0.0000000     0.1920131     0.01630     0.00001
     7     9     0.2117452    -0.2023499    -0.0000000     0.12090     0.00025
     7    10    -0.6243003     0.3541782    -0.0000000     0.16750     0.00211
     7    11    -6.3704231     0.5858475     0.0000000     0.34240     0.34331
     7    12     0.3286126     4.6048543     0.0000000     0.47630     0.24870
     7    13    -0.0000000     0.0000000     0.5362216     0.65430     0.00461
     7    14    -0.0570691    -1.8937266     0.0000000     0.79460     0.06988
     7    15     0.0000000    -0.0000000    -0.8754491     0.79710     0.01497
     7    16     0.1056036    -0.7801344     0.0000000     0.80400     0.01221
     7    17    -0.0000000     0.0000000     0.5656748     0.82080     0.00643
     7    18     0.0512950     0.1602568    -0.0000000     0.84600     0.00059
     7    19    -0.0000000     0.0000000     1.2856474     0.85100     0.03446
     7    20    -0.0000000    -0.0000000    -0.1968853     0.98900     0.00094
     8     8     0.0000000     0.0000000     0.2830351     0.00000     0.00000
     8     9     0.3676988    -0.3261782    -0.0000000     0.10460     0.00062
     8    10    -0.3661157     0.3463816     0.0000000     0.15120     0.00094
     8    11    -0.6427770    -0.0444808    -0.0000000     0.32610     0.00332
     8    12    -0.3421305     0.9152535     0.0000000     0.46000     0.01076
     8    13    -0.0000000     0.0000000     0.1651244     0.63800     0.00043
     8    14     0.5494427     0.1572633     0.0000000     0.77830     0.00623
     8    15    -0.0000000    -0.0000000     0.1942892     0.78080     0.00072
     8    16     0.1748729     0.1697050     0.0000000     0.78770     0.00115
     8    17    -0.0000000     0.0000000     0.3105033     0.80450     0.00190
     8    18    -0.2693533    -0.7296127     0.0000000     0.82970     0.01230
     8    19     0.0000000    -0.0000000    -0.2145886     0.83470     0.00094
     8    20     0.0000000    -0.0000000     0.3701890     0.97270     0.00327
     9     9    -0.0000000     0.0000000     0.1579028     0.00000     0.00000
     9    10    -0.0000000    -0.0000000    -0.0216496     0.04660     0.00000
     9    11    -0.0000000    -0.0000000     0.4235443     0.22150     0.00097
     9    12     0.0000000    -0.0000000    -0.0414799     0.35540     0.00001
     9    13     0.3194007    -0.3154738    -0.0000000     0.53340     0.00263
     9    14     0.0000000    -0.0000000    -0.3529242     0.67370     0.00206
     9    15    -0.1917015     0.3683234     0.0000000     0.67620     0.00286
     9    16     0.0000000    -0.0000000    -0.0808153     0.68310     0.00011
     9    17    -0.0644492    -0.4234621    -0.0000000     0.69990     0.00315
     9    18     0.0000000    -0.0000000    -0.2684255     0.72510     0.00128
     9    19     0.3304873    -0.0848577    -0.0000000     0.73010     0.00208
     9    20     0.7699641    -0.6807270    -0.0000000     0.86810     0.02246
    10    10     0.0000000     0.0000000    -0.0892366     0.00000     0.00000
    10    11    -0.0000000     0.0000000    -0.2037369     0.17490     0.00018
    10    12     0.0000000    -0.0000000     0.0965046     0.30880     0.00007
    10    13     0.5575650     0.2071264     0.0000000     0.48680     0.00422
    10    14     0.0000000    -0.0000000    -0.2743879     0.62710     0.00116
    10    15     0.0340737    -0.2261855    -0.0000000     0.62960     0.00081
    10    16     0.0000000    -0.0000000     0.0034053     0.63650     0.00000
    10    17     0.1865165     0.4602259     0.0000000     0.65330     0.00395
    10    18     0.0000000     0.0000000     0.2677792     0.67850     0.00119
    10    19    -0.5199262     0.0996575     0.0000000     0.68350     0.00469
    10    20     0.0877236     0.4786663     0.0000000     0.82150     0.00477
    11    11     0.0000000    -0.0000000     0.1541395     0.00000     0.00000
    11    12     0.0000000     0.0000000     0.3040360     0.13390     0.00030
    11    13    -0.1894473     0.1452634    -0.0000000     0.31190     0.00044
    11    14    -0.0000000     0.0000000    -0.8392672     0.45220     0.00780
    11    15    -0.9800003    -2.1191141     0.0000000     0.45470     0.06072
    11    16     0.0000000     0.0000000    -0.4391084     0.46160     0.00218
    11    17     4.6487339     1.1098486    -0.0000000     0.47840     0.26773
    11    18     0.0000000     0.0000000     0.2599224     0.50360     0.00083
    11    19    -3.3189838     2.9758863    -0.0000000     0.50860     0.24761
    11    20    -1.0071338    -0.7391463    -0.0000000     0.64660     0.02472
    12    12     0.0000000     0.0000000    -0.1097566     0.00000     0.00000
    12    13    -0.3790623     0.4235865     0.0000000     0.17800     0.00141
    12    14     0.0000000    -0.0000000    -0.3126009     0.31830     0.00076
    12    15     2.9798371    -0.7237535    -0.0000000     0.32080     0.07390
    12    16    -0.0000000     0.0000000    -0.3170680     0.32770     0.00081
    12    17    -2.3090514     2.5538688     0.0000000     0.34450     0.10005
    12    18    -0.0000000     0.0000000    -0.1629951     0.36970     0.00024
    12    19    -3.9170912    -0.9202834     0.0000000     0.37470     0.14863
    12    20     1.3955095     1.7899616    -0.0000000     0.51270     0.06471
    13    13     0.0000000     0.0000000    -0.0991312     0.00000     0.00000
    13    14    -0.0230736     0.2306890    -0.0000000     0.14030     0.00018
    13    15    -0.0000000     0.0000000     0.0468325     0.14280     0.00001
    13    16     0.0901137     0.1580792    -0.0000000     0.14970     0.00012
    13    17     0.0000000    -0.0000000     0.2832815     0.16650     0.00033
    13    18     0.3771793    -0.3742024    -0.0000000     0.19170     0.00133
    13    19     0.0000000     0.0000000    -0.2012694     0.19670     0.00020
    13    20     0.0000000     0.0000000    -0.1466355     0.33470     0.00018
    14    14    -0.0000000    -0.0000000    -0.0192327     0.00000     0.00000
    14    15    -2.1375283     0.2106094    -0.0000000     0.00250     0.00028
    14    16    -0.0000000    -0.0000000     0.4218231     0.00940     0.00004
    14    17     0.7445448     0.3614775     0.0000000     0.02620     0.00044
    14    18    -0.0000000    -0.0000000     1.2411512     0.05140     0.00194
    14    19     1.2365938    -0.5000627     0.0000000     0.05640     0.00246
    14    20    -0.0788527     0.9927332     0.0000000     0.19440     0.00472
    15    15     0.0000000     0.0000000     0.0368197     0.00000     0.00000
    15    16     0.3100349     0.2371804    -0.0000000     0.00690     0.00003
    15    17    -0.0000000    -0.0000000    -0.1236443     0.02370     0.00001
    15    18    -0.1537486     0.5171437     0.0000000     0.04890     0.00035
    15    19    -0.0000000    -0.0000000    -0.0407910     0.05390     0.00000
    15    20    -0.0000000    -0.0000000    -0.0091286     0.19190     0.00000
    16    16    -0.0000000    -0.0000000     0.7280468     0.00000     0.00000
    16    17     1.4235083    -0.6714605    -0.0000000     0.01680     0.00102
    16    18    -0.0000000     0.0000000     1.0014971     0.04200     0.00103
    16    19     0.5766428    -0.2546300     0.0000000     0.04700     0.00046
    16    20     0.6021130     0.3193942     0.0000000     0.18500     0.00211
    17    17     0.0000000    -0.0000000     0.4240587     0.00000     0.00000
    17    18     1.0369274    -0.9914824    -0.0000000     0.02520     0.00127
    17    19     0.0000000     0.0000000     0.1035108     0.03020     0.00001
    17    20     0.0000000     0.0000000     0.1525018     0.16820     0.00010
    18    18    -0.0000000     0.0000000    -0.5580005     0.00000     0.00000
    18    19    -1.7196808    -0.6334695    -0.0000000     0.00500     0.00041
    18    20     1.7338107    -0.3913091     0.0000000     0.14300     0.01107
    19    19    -0.0000000     0.0000000    -0.3996444     0.00000     0.00000
    19    20     0.0000000     0.0000000    -0.1656154     0.13800     0.00009
    20    20     0.0000000    -0.0000000     0.2340092     0.00000     0.00000
